"TIV of arms exports to all, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 05 December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Turkey,104,124,321,514,473,335,198,544,630,934,592,312,300,616,835,412,330,589,420,639,391,937,1096,789,773,1080,431,330,966,913,488,732,483,466,560,690,477,1420,1604,983,1238,1204,1838,2298,1859,1589,1512,1531,2645,1740,1185,510,905,330,257,1095,531,692,640,732,484,777,1501,797,1525,460,348,410,55462
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,27,236,113,71,74,172,428,75,1277
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6
UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,93,106,144,270,294,207,18,203,430,159,164,312,128,137,199,42,652,559,235,201,579,566,419,480,688,758,437,247,186,222,685,1211,2171,2023,919,753,561,607,1210,1088,2241,746,1249,1286,848,26873
Uganda,,,,,,,,,,,,,,,3,2,15,4,24,12,7,3,17,17,46,125,35,5,,,,,14,,,10,,31,1,20,,,,,,32,,,55,39,6,,34,,36,10,5,,19,23,37,471,219,20,,5,0,18,1419
UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,,,19
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24
UNITA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
United Kingdom,105,246,532,1591,512,315,126,90,545,548,29,34,38,139,118,152,216,1422,2288,2570,60,171,227,233,292,309,232,230,182,245,561,811,786,301,635,331,258,186,261,205,117,936,1132,784,414,492,568,496,741,125,871,1277,720,775,217,27,308,776,490,376,491,360,578,494,211,397,259,899,33459
United Nations**,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,55,11,,,1,6,31,,,,2,1,2,1,0,,,,,5,25,3,9,,180
United States,352,702,882,1322,2467,1892,2069,1369,699,643,219,238,264,323,326,190,109,84,70,70,46,539,681,666,594,345,449,337,321,203,326,451,198,413,361,655,421,1993,1788,1785,357,520,551,988,982,788,580,588,264,222,334,493,499,593,563,523,644,820,951,968,1101,995,1196,787,572,528,496,547,45309
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0
Unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,85,85,86,86,86,86,86,86,41,,11,11,18,4,8,3,,4,,,2,,0,0,,,,12,,8,6,,29,30,10,57,17,1558
Uruguay,68,3,39,3,1,2,27,21,9,,17,0,100,0,2,8,6,,10,12,10,16,24,6,5,3,53,2,8,9,21,100,15,17,,8,,,16,41,41,70,19,18,10,9,4,19,27,7,4,,13,,,20,8,3,78,29,20,,,3,9,8,,0,1102
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,2,93,63,,176
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Venezuela,61,,20,190,176,30,399,285,120,7,86,,32,37,2,,37,236,20,7,11,129,173,400,254,225,176,221,59,15,375,921,704,242,241,517,116,46,101,118,170,316,65,39,1,5,35,37,8,85,108,103,50,15,9,21,380,774,737,358,208,594,680,1039,185,216,93,,13117
Viet Cong (South Vietnam)*,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Viet Nam,,,,,10,33,23,73,44,20,65,101,47,107,269,564,1016,1039,1177,950,1310,1364,1496,1175,731,485,42,42,227,1257,1025,1085,529,913,554,28,78,50,65,128,116,,,,,281,212,110,220,163,7,99,58,22,298,214,41,8,187,61,152,1021,788,362,1218,862,858,690,26165
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,25,,7,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,77
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,171,,,1,51,158,85,593,62,252,315,38,66,40,5,258,45,38,23,6,30,4,,2436
Yugoslavia,,182,490,525,534,334,320,366,112,180,259,175,397,624,463,549,544,693,681,586,554,486,328,163,156,565,526,594,406,763,495,440,631,576,282,354,343,328,712,331,310,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,17500
Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,166,29,19,9,48,109,34,42,4,136,216,48,13,18,,,,,,,,,,,,8,,,,33,,2,,,0,30,5,2,,,1,66,,,14,43,40,1182
ZAPU (Zimbabwe)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Zimbabwe,1,11,2,8,36,27,8,,61,,15,,16,20,,,,16,,,,2,11,0,2,31,16,4,13,,,15,80,34,26,28,212,29,2,,2,42,60,0,,,,,1,25,3,10,,16,13,25,25,,,,,,,,,,,,946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8633,12419,16504,22504,20933,19839,24027,23381,25898,21497,17487,16498,17471,19937,26357,24949,24769,25478,26103,28457,25639,32780,34391,35884,36287,37533,35284,39780,42869,38119,41860,45229,45727,43985,41611,38372,39176,39589,36828,35291,30060,28239,24129,25775,22853,22942,23911,28873,27791,25236,19387,18882,17913,19070,21386,21593,24815,26680,24145,24234,25691,30006,28289,26954,26780,28522,32262,31106,1896897
